Neighborhood,City,County,Size Rank,"LIHTC Present? (0 = No, 1 = Yes)",Jul-96,Jan-97,Jul-97,Jan-98,Jul-98,Jan-99,Jul-99,Jan-00,Jul-00,Jan-01,Jul-01,Jan-02,Jul-02,Jan-03,Jul-03,Jan-04,Jul-04,Jan-05,Jul-05,Jan-06,Jul-06,Jan-07,Jul-07,Jan-08,Jul-08,Jan-09,Jul-09,Jan-10,Jul-10,Jan-11,Jul-11,Jan-12,Jul-12,Jan-13,Jul-13,Jan-14,Jul-14,Jan-15,Jul-15,Jan-16,Jul-16,Jan-17,Jul-17
Kings Grant,Wilmington,New Hanover,1618,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kirkland,Wilmington,New Hanover,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konnoak,Winston-Salem,Forsyth,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansdowne,Charlotte,Mecklenburg,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Heights,Charlotte,Mecklenburg,4055,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madison Park,Charlotte,Mecklenburg,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallard Creek - Withrow Downs,Charlotte,Mecklenburg,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlwood,Charlotte,Mecklenburg,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshbrooke,Charlotte,Mecklenburg,1764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mineral Springs,Winston-Salem,Forsyth,4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral Springs-Rumble Road,Charlotte,Mecklenburg,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montclaire South,Charlotte,Mecklenburg,945,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montibello,Charlotte,Mecklenburg,2542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
